  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-09-01,        84,        45,        20,       161,        33,        80,        24,        55,        59,        55,         0,        42,        30,       276,        19,        41,        47,        31,        44,       162,        42,        68
2018-09-02,        85,        54,        15,       165,        40,        62,        29,        52,        51,        38,         0,        41,        38,       225,        14,        61,        33,        23,        42,       142,        25,        35
2018-09-03,       112,        87,        24,       204,        60,        40,        46,        71,        92,        89,        40,        68,        80,       406,        49,       103,        82,        40,        63,       295,        20,        70
2018-09-04,       111,        96,        24,       194,        67,        70,        44,        68,        88,        99,        42,        82,        74,       417,        50,        91,        87,        82,        67,       315,        37,        72
2018-09-05,       112,       104,        18,       181,        65,        61,        48,        75,        94,        92,        56,        77,        74,       425,        41,        98,        78,        33,        59,       311,        36,        71
2018-09-06,       108,        48,        22,       181,        47,        35,        27,        62,        57,        46,        55,        43,        39,       345,        16,        70,        53,        28,        51,       282,        28,        71
2018-09-07,       110,        73,        29,       173,        57,        35,        28,        77,        64,        58,        57,        64,        64,       387,        44,        68,        70,        39,        40,       314,        29,        70
2018-09-08,        95,        58,        16,       145,        31,        40,        24,        62,        52,        44,         0,        49,        40,       268,        13,        54,        43,        28,        47,       142,        27,        71
2018-09-09,       106,        53,        15,       142,        42,        43,        31,        66,        58,        45,         0,        40,        40,       280,        20,        60,        46,        32,        29,       158,        21,        33
2018-09-10,       112,        95,        22,       185,        67,        61,        51,        81,        93,        98,         0,        47,        72,       380,        44,        90,        76,        74,        62,       297,        19,        70
2018-09-11,       112,        95,        24,       195,        56,        36,        43,        92,        96,        95,        43,        69,        76,       374,        35,        85,        85,        68,        61,       301,        23,        72
2018-09-12,       112,       104,        21,       161,        62,        54,        52,        84,        91,       112,        55,        94,        73,       451,        43,        98,       101,        31,        69,       312,        36,        72
2018-09-13,       111,        69,        25,       174,        69,        34,        53,       108,        86,       124,        52,        95,        80,       440,        34,        97,       104,        63,        71,       312,        41,        69
2018-09-14,       111,       103,        30,       181,        53,        52,        53,        89,        98,        96,        56,        73,        75,       450,        38,        81,        93,        61,        79,       315,        41,        72
2018-09-15,        74,        64,        14,       146,        38,        41,        34,        65,        56,        52,         0,        64,        32,       288,        23,        44,        45,        25,        31,       129,        30,        71
2018-09-16,        88,        52,        18,       130,        30,        63,        27,        63,        48,        51,         0,        58,        30,       273,        14,        60,        42,        35,        40,       159,        19,        42
2018-09-17,       112,        26,        21,       203,        61,        63,        62,        98,        98,       102,        35,        78,        83,       440,        44,        84,        86,        61,        69,       288,        27,        72
2018-09-18,       112,        23,        25,       182,        65,        33,        48,        74,        98,       104,        42,        87,        84,       393,        48,        99,        85,        63,        61,       303,        30,        72
2018-09-19,       112,       111,        23,       211,        66,        33,        39,        84,        98,        94,        34,        89,        88,       438,        39,       105,       104,         0,        65,       296,        36,        72
2018-09-20,       112,        72,        21,       209,        57,        33,        45,        97,        89,        96,        38,       103,        86,       476,        39,        89,        96,        62,        58,       315,        35,        69
2018-09-21,       111,        89,        27,       176,        65,        36,        43,        90,        87,        96,        31,        68,        87,       397,        44,        77,        88,        75,        58,       309,        43,        72
2018-09-22,        98,        54,        13,       142,        37,        35,        27,        69,        60,        60,         0,        50,        49,       330,        21,        40,        52,        36,        42,       146,        39,        72
2018-09-23,        86,        53,        12,       151,        34,        30,        35,        60,        55,        56,         0,        39,        49,       248,        17,        65,        46,        33,        46,       137,        15,        38
2018-09-24,       112,        62,        31,       172,        54,        40,        35,        75,        61,        60,         0,        44,        51,       244,        21,        89,        59,        42,        46,       284,        22,        70
2018-09-25,       112,        94,        27,       213,        62,        41,        38,        80,        89,        88,        41,        99,        91,       427,        56,        94,        82,        70,        61,       297,        34,        70
2018-09-26,       111,       115,        29,       206,        58,        35,        42,        83,        82,        90,        51,        84,        84,       399,        44,       109,       101,        64,        57,       309,        35,        72
2018-09-27,       111,       107,        24,       197,        62,        33,        41,        78,        95,        94,        50,        75,       104,       419,        61,       101,       112,        64,        64,       316,        27,        71
2018-09-28,       112,        59,        30,       187,        61,        46,        51,        84,        99,       102,        64,        93,        84,       428,        56,       102,        92,        32,        71,       284,        37,        70
2018-09-29,        98,        49,        27,       143,        34,        40,        28,        61,        56,        63,         0,        53,        38,       261,        20,        48,        38,        26,        41,       136,        39,        69
2018-09-30,        75,        55,        18,       130,        34,        40,        27,        57,        49,        56,         0,        33,        34,       244,        17,        62,        46,        40,        30,       132,        18,        30
