-- MONTHLY REPORT --  Year: 2018 Month: 7 ( Reported at: 2018-10-07 17:10 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   24chasa|  Actualno|   BgOnAir|     Blitz|     Bnews|    Classa|     ClubZ|     Cross|      Dnes|   Dnevnik|      Duma| Epicenter|    Faktor|     Focus| Mediapool|   Monitor|      News|  Novinite|   OffNews|       PIK|StandartNews|      Trud|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2018-07-01|        99|        67|        20|        38|        30|         0|        26|        47|        54|        46|         0|        43|        20|       250|        22|        71|        48|        35|        38|       146|        26|        35|
|2018-07-02|       110|        94|        29|        59|        64|         0|        53|        92|        98|        91|        38|        62|        63|       414|        49|       109|        73|        39|        51|       214|         3|        68|
|2018-07-03|       112|       126|        20|        76|        55|        40|        50|        88|        89|       108|        50|        68|        65|       421|        48|       109|        76|        47|        62|       186|        30|        33|
|2018-07-04|       112|       116|        19|        76|        61|        59|        53|        90|        97|       103|         0|        80|        70|       433|        55|       105|        89|        43|        63|       190|        31|        72|
|2018-07-05|       112|       105|        29|        50|        64|        44|        44|        89|       104|        92|        56|        81|        66|       386|        55|        97|        96|        31|        58|       200|        32|        69|
|2018-07-06|       112|       107|        27|        37|        58|         0|        52|        92|        84|        97|        55|        81|        69|       436|        49|        88|        88|        41|        58|       171|        33|        71|
|2018-07-07|        98|        50|        24|        47|        34|        43|        33|        47|        64|        54|         0|        63|        43|       276|        23|        47|        38|        15|        31|       145|        32|        37|
|2018-07-08|        93|        62|        18|        24|        32|        28|        36|        30|        47|        37|         0|        55|        41|       214|        16|        74|        41|        26|        31|       152|        23|        33|
|2018-07-09|       111|        94|        27|        51|        64|        38|        48|        89|        87|       100|        47|        79|        72|       355|        38|       114|        92|        25|        71|       189|        28|        72|
|2018-07-10|       111|       111|        29|        46|        65|        32|        43|        80|        22|        90|        44|        89|        69|       391|        53|       106|        95|        45|        68|       206|        46|        69|
|2018-07-11|       112|       105|        24|        60|        69|        35|        53|        89|        99|        89|        62|       112|        81|       446|        45|       106|       101|        55|        62|       222|        44|        72|
|2018-07-12|       112|        92|        24|        70|        60|        33|        47|        83|        92|       108|        65|       103|        83|       405|        53|       109|        92|        32|        72|       200|        41|        70|
|2018-07-13|       110|       106|        28|        41|        58|        33|        38|        79|        94|        85|        69|        78|        98|       416|        51|        83|        92|        32|        53|       170|        53|        72|
|2018-07-14|       105|        53|        25|        17|        34|        37|        34|        68|        66|        45|         0|        54|        46|       233|        19|        40|        54|        26|        40|       141|        42|        71|
|2018-07-15|        80|        66|        17|         7|        29|        43|        41|        51|        54|        44|         0|        45|        42|       249|        20|        60|        48|        26|        37|       143|        29|        69|
|2018-07-16|       112|       101|        26|        71|        67|        46|        48|        87|        97|        79|        43|        86|        90|       388|        35|        99|        80|        30|        65|       182|        27|        70|
|2018-07-17|       111|       102|        22|        59|        61|        34|        55|        87|        98|        95|        37|        86|        88|       474|        57|        86|        81|        36|        53|       196|        52|        66|
|2018-07-18|       112|        25|        24|        29|        58|        33|        54|        84|       110|        98|        51|        87|        82|       472|        46|        93|        96|        40|        61|       189|        41|        71|
|2018-07-19|       112|       108|        23|        29|        60|        54|        53|        87|       102|        93|        56|        80|        79|       427|        53|        96|        95|        34|        72|       209|        52|        71|
|2018-07-20|       112|        33|        33|        63|        58|        33|        40|        91|        94|        79|         0|        62|        83|       460|        46|        86|        77|        19|        67|       156|        30|        33|
|2018-07-21|        80|        49|        19|         9|        33|        33|        30|        75|        53|        48|         0|        50|        32|       257|        17|        48|        37|        20|        36|       138|        27|        70|
|2018-07-22|        83|        48|        15|        40|        30|        41|        37|        62|        59|        53|         0|        47|        31|       228|        14|        69|        43|        16|        39|       129|        25|        33|
|2018-07-23|       112|       109|        21|        39|        61|        32|        43|        72|        77|        75|        44|        56|        72|       387|        49|       115|        74|        54|        57|       196|        32|        72|
|2018-07-24|       112|       107|        29|        52|        60|        32|        42|        69|        84|        92|        43|        68|        81|       441|        39|       101|        62|        38|        56|       183|        35|        35|
|2018-07-25|       111|        87|        27|        34|        60|        33|        53|        80|        97|        89|        55|        67|        72|       438|        57|        63|        78|        50|        64|       196|        33|        72|
|2018-07-26|       112|       115|        20|        20|        57|        56|        37|        83|        91|        77|        60|        73|        61|       429|        54|        49|        77|        53|        70|       189|        47|        71|
|2018-07-27|       111|       102|        30|        42|        55|        33|        48|        83|        82|        78|        45|        68|        77|       436|        45|        97|        76|        47|        70|       170|        34|        71|
|2018-07-28|        95|        58|        17|        30|        41|        38|        19|        65|        50|        48|         0|        32|        48|       246|        24|        46|        46|        22|        37|       152|        30|        70|
|2018-07-29|       158|        66|        17|        24|        41|         9|        24|        59|        48|        47|         0|        39|        40|       208|        19|        71|        46|        17|        39|       150|        22|        68|
|2018-07-30|       112|       101|        23|        51|        61|        40|        44|        87|        85|        74|        37|        61|        64|       377|        38|        97|        70|        40|        57|       190|        24|        37|
|2018-07-31|       222|       112|        18|        65|        64|        43|        53|        80|       102|        83|        40|        78|        65|       392|        47|       103|        70|        48|        68|       192|        42|        71|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      3456|      2677|       724|      1356|      1644|      1055|      1331|      2365|      2480|      2397|       997|      2133|      1993|     11385|      1236|      2637|      2231|      1082|      1706|      5492|      1046|      1894|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 53317
