-- MONTHLY REPORT --  Year: 2017 Month: 9 ( Reported at: 2017-09-13 15:35 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-09-01|       105|       432|         0|        77|        61|       219|        45|         0|       116|        40|        25|        33|        28|
|2017-09-02|        59|       234|         0|        46|        57|       156|        21|         0|        53|        19|         0|         9|        17|
|2017-09-03|        58|       240|         0|        47|        43|       155|        23|         0|        56|        18|         0|        14|        14|
|2017-09-04|        88|       398|         0|        84|        71|       218|        24|         0|       105|        32|        10|        45|        24|
|2017-09-05|        96|       348|         0|        83|        72|       211|        26|        38|        93|        70|        15|        53|        24|
|2017-09-06|        68|       328|        75|        57|        48|       206|        26|        37|        79|        27|        15|        20|        24|
|2017-09-07|        93|       393|        72|        72|        74|       215|        16|        30|        56|        16|        19|        14|        13|
|2017-09-08|        82|       381|        79|        85|        66|       203|        24|        40|        94|        25|        22|        37|        24|
|2017-09-09|        46|       230|        30|        46|        60|       156|         0|        41|        68|        26|         0|        17|        10|
|2017-09-10|        47|       212|        52|        51|        43|       157|        28|        32|        52|        26|         0|        18|        16|
|2017-09-11|        79|       377|        84|        88|        75|       194|        24|        33|       112|        24|        11|        33|        24|
|2017-09-12|        92|       374|        85|       101|        77|       205|        31|        42|       111|        23|        11|        49|        24|
|2017-09-13|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-14|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-15|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-16|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-17|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-18|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-19|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-20|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-21|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-22|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-23|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-24|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-25|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-26|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-27|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-28|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-29|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
|2017-09-30|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |       913|      3947|       477|       837|       747|      2295|       288|       293|       995|       346|       128|       342|       242|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 11850
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
