  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-08-01,       112,       117,        25,         0,        56,        32,        44,        93,        86,        83,        58,        84,        40,       401,        56,        99,        84,        17,        74,       214,        43,        71
2018-08-02,       112,       134,        26,        68,        60,        62,        43,        89,        97,        89,        63,        90,        66,       414,        47,        83,        65,        41,        67,       190,        43,        71
2018-08-03,       112,        97,        30,       182,        62,        60,        48,        78,        97,        69,        58,        72,        59,       334,        40,        66,        74,        51,        63,       308,        50,        70
2018-08-04,        74,        61,        16,       169,        34,        60,        18,        69,        49,        48,         0,        38,        40,       217,        22,        29,        42,        17,        28,       132,        28,        68
2018-08-05,        86,        63,        16,       167,        26,        60,        24,        67,        56,        44,         0,        35,        38,       250,        17,        72,        44,        21,        39,       134,        22,        34
2018-08-06,       112,        97,        24,       225,        64,        58,        34,        74,       103,        88,        37,        57,        72,       323,        41,       102,        58,        30,        70,       275,        26,        70
2018-08-07,       112,        21,        18,       193,        59,        32,        64,        68,        95,       104,        49,        71,        80,       323,        55,       101,        53,        33,        66,       290,        39,        71
2018-08-08,       112,        64,        21,       201,        61,        50,        57,        91,        81,        87,        55,        73,        89,       332,        51,        99,        86,        36,        60,       325,        40,        71
2018-08-09,       112,        88,        21,       212,        56,        43,        39,        79,        97,        93,        61,        66,        79,       335,        42,        94,        73,        29,        68,       327,        45,        71
2018-08-10,       111,        89,        32,       177,        62,        40,        43,        68,        89,        96,        54,        65,        78,       338,        49,        83,        80,        49,        67,       305,        35,        72
2018-08-11,        64,        50,        15,       147,        27,        80,        20,        70,        60,        49,         0,        42,        34,       228,        23,        49,        41,        14,        38,       143,        53,        70
2018-08-12,        69,        64,        14,       137,        46,        60,        28,        66,        56,        48,         0,        42,        32,       246,        16,        64,        34,        26,        43,       142,        22,        71
2018-08-13,       112,        94,        27,       214,        58,        43,        35,        83,        85,        86,        38,        40,        82,       329,        50,        99,        72,        41,        68,       318,        22,        72
2018-08-14,       111,        91,        27,       207,        55,        51,        38,        81,        96,       105,        42,        68,        91,       330,        47,        93,        84,        56,        55,       321,        35,        71
2018-08-15,       112,        29,        19,       202,        65,       100,        46,        75,        89,       107,        60,        82,        61,       402,        44,        92,        85,        31,        62,       315,        39,        32
2018-08-16,       112,        91,        26,       184,        63,        61,        46,        84,        89,        95,        58,        83,        88,       315,        44,        89,        81,        48,        65,       323,        37,        33
2018-08-17,       112,       109,        28,       206,        62,        81,        45,        86,        85,        91,        48,        71,        81,       400,        49,        90,        79,        49,        51,       315,        35,        43
2018-08-18,        80,        48,        19,       141,        44,        65,        27,        68,        52,        56,         0,        40,        38,       233,        23,        46,        48,        16,        40,       138,        54,        49
2018-08-19,        78,        56,        15,       164,        30,        36,        24,        61,        53,        51,         0,        32,        34,       206,        17,        63,        55,        25,        39,       142,        22,        35
2018-08-20,       112,       111,        27,       187,        53,        45,        44,        80,        97,        94,        41,        68,        71,       384,        54,        88,        62,        44,        49,       302,        24,        64
2018-08-21,       111,       112,        19,       199,        66,        64,        50,        80,        88,        89,        47,        89,        74,       397,        48,        98,        90,        54,        51,       298,        35,        72
2018-08-22,       112,       109,        25,       214,        71,        52,        43,        78,        99,       100,        62,        93,        71,       389,        46,       101,        94,        72,        48,       329,        43,        71
2018-08-23,       112,       101,        23,       192,        60,        70,        48,        78,       102,        93,        54,        78,        83,       398,        46,       106,        76,        24,        50,       309,        40,        32
2018-08-24,       111,        87,        31,       207,        61,        64,        38,        68,        91,        76,        47,        75,        75,       363,        47,        84,        61,        67,        47,       309,        38,        71
2018-08-25,        92,        60,        21,       140,        56,         0,        26,        71,        58,        57,         0,        45,        34,       279,        17,        56,        44,        29,        43,       156,        21,        70
2018-08-26,       104,        55,        19,       162,        42,        40,        21,        66,        54,        59,         0,        48,        30,       228,        16,        73,        37,        37,        42,       149,        18,        71
2018-08-27,       112,        95,        11,       221,        62,        81,        39,        70,       101,        85,        31,        59,        78,       329,        38,        89,        61,        73,        61,       296,        17,        70
2018-08-28,       112,       113,        22,       218,        58,        60,        46,        78,        95,        98,        44,        73,        82,       361,        43,        98,        76,        94,        71,       326,        31,        71
2018-08-29,       111,        93,        25,       216,        58,        34,        39,        76,        96,       109,        60,        71,        82,       379,        46,        89,        78,        62,        64,       303,        32,        71
2018-08-30,         0,        97,        15,         0,        57,         0,         0,        78,         0,        96,         0,         0,         0,       370,         0,       100,        76,        29,        69,       324,         0,         0
2018-08-31,       112,        87,        22,       190,        61,        71,        38,        81,        81,        95,        51,        66,        72,       415,        44,        79,        74,        64,        63,       300,        28,        71
