-- MONTHLY REPORT --  Year: 2017 Month: 5 ( Reported at: 2017-09-13 15:35 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-05-01|        43|         0|         0|         0|        50|       239|         0|         0|         0|        78|         0|         0|         0|
|2017-05-02|        83|         0|         0|         0|        87|       313|         0|         0|         0|       153|         0|         0|         0|
|2017-05-03|       101|         0|         0|         0|        97|       258|         0|         0|         0|       160|         0|         0|         0|
|2017-05-04|        99|         0|         0|         0|        93|       279|         0|         0|         0|       162|         0|         0|         0|
|2017-05-05|        81|         0|         0|         0|        89|       255|         0|         0|         0|       157|         0|         0|         0|
|2017-05-06|        51|         0|         0|         0|        54|       192|         0|         0|         0|        56|         0|         0|         0|
|2017-05-07|        57|         0|         0|         0|        49|       193|         0|         0|         0|        70|         0|         0|         0|
|2017-05-08|        34|         0|         0|         0|        60|       212|         0|         0|         0|        86|         0|         0|         0|
|2017-05-09|        94|         0|         0|         0|        99|       260|         0|         0|         0|       149|         0|         0|         0|
|2017-05-10|       102|         0|         0|         0|       101|       240|         0|         0|         0|       167|         0|         0|         0|
|2017-05-11|       115|         0|         0|         0|        84|       254|         0|         0|         0|       191|         0|         0|         0|
|2017-05-12|        83|         0|         0|         0|        85|       241|         0|         0|         0|       163|         0|         0|         0|
|2017-05-13|        46|         0|         0|         0|        46|       199|         0|         0|         0|        91|         0|         0|         0|
|2017-05-14|        48|         0|         0|         0|        53|       197|         0|         0|         0|        99|         0|         0|         0|
|2017-05-15|        82|         0|         0|         0|        89|       265|         0|         0|         0|       132|         0|         0|         0|
|2017-05-16|        98|         0|         0|         0|        85|       284|         0|         0|         0|       164|         0|         0|         0|
|2017-05-17|       104|         0|         0|         0|        97|       290|         0|         0|         0|       146|         0|         0|         0|
|2017-05-18|       105|         0|         0|         0|        87|       328|         0|         0|         0|       146|         0|         0|         0|
|2017-05-19|        94|         0|         0|         0|        86|       284|         0|         0|         0|       110|         0|         0|         0|
|2017-05-20|        56|         0|         0|         0|        47|       191|         0|         0|         0|        80|         0|         0|         0|
|2017-05-21|        50|         0|         0|         0|        44|       190|         0|         0|         0|        88|         0|        24|         0|
|2017-05-22|        94|       341|         0|         0|        79|       249|         0|         0|         0|       156|         0|         0|         0|
|2017-05-23|        82|         0|         0|         0|        94|       278|         0|         0|         0|       145|         0|         0|         0|
|2017-05-24|        52|         0|         0|         0|        48|       266|         0|         0|         0|       108|         0|         0|         0|
|2017-05-25|        93|         0|         0|         0|        81|       254|         0|         0|         0|       150|         0|         0|         0|
|2017-05-26|        74|         0|         0|         0|        78|       234|         0|         0|         0|       126|         0|         0|         0|
|2017-05-27|        54|         0|         0|         0|        50|       207|         0|         0|         0|        99|         0|         0|         0|
|2017-05-28|        49|         0|         0|         0|        44|       192|         0|         0|         0|       106|         0|         0|         0|
|2017-05-29|        92|         0|         0|         0|        93|       253|         0|         0|         0|       173|         0|         0|         0|
|2017-05-30|        86|         0|         0|         0|        90|       277|         0|         0|         0|       159|         0|         0|         0|
|2017-05-31|       101|         0|         0|         0|        76|       318|         0|         0|         0|       156|         0|         0|         0|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2403|       341|         0|         0|      2315|      7692|         0|         0|         0|      4026|         0|        24|         0|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 16801
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
