-- MONTHLY REPORT --  Year: 2017 Month: 9 ( Reported at: 2017-10-16 09:06 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-09-01|       105|       432|         0|        77|        61|       219|        45|         0|       116|        39|        25|        33|        28|
|2017-09-02|        59|       234|         0|        46|        57|       156|        21|         0|        53|        19|         0|         9|        17|
|2017-09-03|        58|       240|         0|        47|        43|       155|        23|         0|        56|        18|         0|        14|        14|
|2017-09-04|        88|       398|         0|        84|        71|       218|        24|         0|       105|        32|        10|        45|        24|
|2017-09-05|        96|       348|         0|        83|        72|       211|        26|        38|        93|        70|        15|        53|        24|
|2017-09-06|        68|       328|        75|        57|        48|       206|        26|        37|        79|        27|        15|        20|        24|
|2017-09-07|        93|       393|        72|        72|        74|       215|        16|        30|        56|        16|        19|        14|        13|
|2017-09-08|        82|       381|        79|        85|        66|       203|        24|        40|        94|        25|        22|        37|        24|
|2017-09-09|        46|       230|        30|        46|        60|       156|         0|        41|        68|        26|         0|        17|        10|
|2017-09-10|        47|       212|        52|        51|        43|       157|        28|        32|        52|        26|         0|        18|        16|
|2017-09-11|        79|       377|        84|        88|        75|       194|        24|        33|       112|        24|        11|        33|        24|
|2017-09-12|        92|       374|        85|       101|        77|       205|        31|        42|       111|        23|        11|        49|        24|
|2017-09-13|       108|       431|        72|        96|        73|       201|        31|        37|       111|        29|        13|        51|        24|
|2017-09-14|       100|       373|        75|       101|        68|       205|        25|        36|       112|        28|        12|        44|        24|
|2017-09-15|        90|       442|        65|        91|        74|       190|        23|        47|        94|        16|        22|        34|        21|
|2017-09-16|        53|       260|        25|        39|        34|       148|        32|        32|       101|        25|         0|        24|        24|
|2017-09-17|        54|       239|        41|        45|        42|       159|        25|        39|        52|        16|         0|        10|        20|
|2017-09-18|        88|       394|        66|        78|        82|       230|        29|        39|       111|        28|        11|        28|        24|
|2017-09-19|       119|       381|        76|        87|        70|       223|        32|        30|       110|        29|        14|        47|        24|
|2017-09-20|       101|       425|        84|        97|        81|       235|        48|        32|       160|        46|        12|        43|        48|
|2017-09-21|        99|       392|        55|        97|        69|       208|        31|        38|       111|        23|        14|        41|        24|
|2017-09-22|        45|       313|        55|        71|        37|       189|        33|        43|        96|        21|        19|        21|        24|
|2017-09-23|        61|       228|        23|        43|        55|       146|        32|        46|        91|        22|         0|        20|        24|
|2017-09-24|        60|       242|        50|        43|        41|       151|        31|        39|        81|        23|         0|        19|        24|
|2017-09-25|        93|       358|        92|        89|        71|       249|        32|        33|       111|        27|        17|        51|        24|
|2017-09-26|        85|       411|        75|       114|        87|       216|        32|        44|       111|        26|        12|        59|        24|
|2017-09-27|       102|       371|        80|       114|        78|       229|        33|        41|       111|        28|        15|        53|        24|
|2017-09-28|       112|       399|        80|       103|        82|       204|        32|        42|       110|        30|        12|        57|        24|
|2017-09-29|        99|       395|        72|       115|        69|       234|         0|         0|         0|         0|        22|         0|         0|
|2017-09-30|        58|       243|        19|        42|        38|       117|        31|        30|        64|        26|         0|        24|        24|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2440|     10244|      1582|      2302|      1898|      5829|       820|       941|      2732|       788|       323|       968|       667|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 31534
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
