  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-04-01,         0,        66,        19,        77,        29,        42,        31,        63,        43,        54,         0,        41,        20,       234,        15,        53,        50,        17,        34,       140,        20,        69
2018-04-02,       183,       123,        37,       104,        70,        41,        45,        88,        78,        88,        41,        81,        36,       408,        55,        83,        88,        31,        56,       222,        39,        71
2018-04-03,       112,       125,        30,        90,        66,        47,        33,        62,        93,        97,        24,        99,        50,       440,        56,        99,       102,        58,        72,       191,        42,        72
2018-04-04,       112,       115,        37,       101,        70,        32,        44,       104,        84,        91,        56,       103,        39,       432,        52,        75,       109,        56,        78,       196,        46,        72
2018-04-05,       112,        31,        39,        81,        55,        51,        37,        95,        78,        87,        47,        89,        39,       371,        48,        81,       100,        30,        56,       188,        42,        72
2018-04-06,       104,        46,        32,        81,        45,        42,        29,        68,        68,        40,        61,        42,        35,       251,        11,        47,        65,        27,        41,       142,        41,        93
2018-04-07,        69,        51,        21,        56,        32,        34,        25,        55,        53,        44,         0,        63,        24,       242,        18,        24,        46,        31,        41,       134,        20,        29
2018-04-08,        82,        57,        17,        64,        21,        45,        28,        47,        53,        46,         0,        41,        10,       237,         6,        20,        43,        21,        29,       123,        19,        16
2018-04-09,       100,        57,        28,        78,        37,        33,        29,        54,        55,        49,         0,        56,        26,       261,        23,        69,        71,        34,        42,       156,        24,        36
2018-04-10,       112,       112,        31,        65,        69,        48,        38,        80,        97,        95,        44,        90,        43,       363,        51,        90,       110,        39,        66,       191,        27,        71
2018-04-11,       112,       122,        33,        73,        68,        20,        47,        97,       101,        87,        64,        88,        51,       400,        37,        66,       103,        28,        78,       216,        39,        71
2018-04-12,       112,       107,        32,        71,        69,        21,        39,        98,       104,        96,        55,        74,        35,       349,        38,        99,       103,        59,        57,       188,        45,        36
2018-04-13,       112,       108,        32,        77,        67,        41,        33,        63,        95,       106,        70,        91,        42,       407,        50,        77,        96,        34,        61,       183,        40,        38
2018-04-14,       112,        64,        22,        28,        39,         0,        29,        60,        60,        62,         0,        58,        27,       286,        20,        35,        41,        20,        44,       146,        42,        41
2018-04-15,        94,        62,        19,        67,        32,        64,        29,        72,        49,        57,         0,        34,        26,       232,        17,        68,        46,         8,        31,       135,        40,        70
2018-04-16,       112,        50,        23,       111,        62,        32,        41,        86,        97,        81,        41,        80,        40,       421,        43,        95,        89,        44,        69,       185,        30,        72
2018-04-17,       112,       112,        34,        75,        61,        33,        41,        70,       110,        85,        42,       104,        58,       417,        58,        68,        84,        68,        60,       204,        41,        71
2018-04-18,       111,       144,        33,        73,        63,        41,        49,        70,       114,       123,        58,        98,        49,       409,        38,        72,       113,        39,        82,       183,        42,        72
2018-04-19,       112,       116,        28,        66,        60,        34,        43,        93,        98,       109,        60,       104,        58,       441,        41,        66,        98,        52,        73,       183,        41,        36
2018-04-20,       111,       102,        31,        88,        64,        33,        37,        96,        68,        97,        50,        86,        58,       429,        33,        74,        91,        33,        74,       175,        39,        70
2018-04-21,        75,        48,        16,        44,        34,        36,        27,        44,        52,        57,         0,        47,        31,       220,        19,        19,        49,        32,        39,       124,        38,        34
2018-04-22,        79,        47,        16,        35,        29,        54,        27,        49,        52,        59,         0,        37,        23,       206,        20,        55,        39,        24,        46,       132,        25,        35
2018-04-23,       112,       117,        37,        88,        65,        33,        47,        74,        95,        97,        44,        78,        57,       396,        50,        85,        84,        31,        54,       210,        30,        71
2018-04-24,       112,       106,        35,       121,        66,        31,        49,        79,       111,        95,        51,        83,        66,       387,        47,        83,       108,        46,        69,       195,        40,        36
2018-04-25,       112,       117,         9,        80,        68,        37,        48,        92,       112,       114,        61,        99,        60,       431,        43,        95,        92,        45,        73,       209,        42,        70
2018-04-26,       112,       120,        32,        59,        72,        36,        43,        69,       111,        95,        61,       101,        61,       397,        47,        72,       103,        40,        67,       208,        43,        72
2018-04-27,       112,       118,        37,        48,        64,        32,        39,        65,       105,        84,        61,        87,        55,       429,        37,        95,        98,        33,        71,       172,        45,        70
2018-04-28,        89,        46,        18,        45,        28,        32,        25,        59,        54,        40,         0,        51,        24,       234,        22,        40,        43,        16,        35,       129,        42,        69
2018-04-29,        73,        44,         6,        40,        31,        32,        26,        61,        62,        49,         0,        41,        29,       234,        15,        57,        38,         9,        40,       131,        18,        33
2018-04-30,       112,       113,        33,        40,        69,        37,        38,        82,        86,        96,         0,        74,        43,       403,        48,        84,       106,        38,        64,       205,        32,        72
