  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-02-01,       112,       124,        37,        31,        61,        38,        50,        85,        99,       103,         0,        86,        41,       387,        52,        73,       100,        33,        61,       198,        43,        71
2018-02-02,       111,       116,        33,        48,        69,        33,        44,        89,        89,        94,        62,        72,        45,       419,        49,        69,        99,        43,        63,       188,        37,        71
2018-02-03,        71,        70,        21,        31,        32,        38,        24,        55,        56,        52,         0,        47,        18,       246,        17,        15,        43,        14,        31,       135,        44,        38
2018-02-04,        76,        52,        18,        31,        28,        32,        23,        52,        47,        52,         0,        37,        21,       241,        21,        56,        32,         8,        34,       141,        22,        70
2018-02-05,       112,       119,        35,       250,        65,        40,        36,        78,        84,        94,        33,        69,        42,       406,        50,        68,        99,        45,        75,       211,         8,        71
2018-02-06,       111,       128,        34,       233,        63,        41,        44,        93,        96,       100,        42,        71,        50,       392,        43,        59,       107,        42,        79,       188,        39,        71
2018-02-07,       112,       127,        37,       233,        68,        45,        48,        93,       108,        98,        63,        77,        32,       375,        56,        75,       100,        36,        67,       187,        45,        70
2018-02-08,       112,       122,        32,       193,        65,        33,        53,        68,       102,       101,        65,        79,        48,       393,        62,        75,       112,        31,        71,       198,        43,        71
2018-02-09,         0,       116,        34,         0,        66,         0,         0,        74,         0,        91,        64,         0,         0,       397,         0,        64,       105,        28,        67,       193,         0,         0
2018-02-10,        75,        61,        17,       171,        36,        17,        26,        65,        52,        53,         0,        47,        24,       235,        17,        15,        48,        12,        47,       129,        36,        70
2018-02-11,        68,        44,        14,       183,        37,        42,        24,        64,        53,        49,         0,        37,        15,       261,        14,        44,        48,        13,        30,       144,        12,        37
2018-02-12,       111,       135,        33,       251,        70,        42,        45,        87,        94,       101,        45,        81,        51,       384,        50,        85,       101,        36,        61,       215,        33,        36
2018-02-13,       112,       136,        33,       235,        68,        43,        49,        91,       100,        97,        45,        80,        52,       360,        56,        88,        86,        25,        65,       182,        35,        70
2018-02-14,       112,       133,        31,       226,        65,        42,        49,        57,        98,       121,        67,        93,        41,       467,        63,        88,       104,        37,        78,       200,        37,        72
2018-02-15,       112,        39,        32,       193,        70,        35,        50,        65,       107,       115,         0,        77,        54,       374,        43,        61,        96,        30,        60,       211,        47,        35
2018-02-16,       112,       123,        18,       241,        62,        33,        39,        93,        94,        91,        51,        74,        53,       423,        46,        50,        76,        28,        62,       180,        42,        71
2018-02-17,        82,        46,        25,       185,        37,        32,        35,        67,        43,        53,         0,        38,        29,       251,        32,        23,        53,        24,        28,       147,        38,        70
2018-02-18,        87,        48,        19,       208,        28,        38,        29,        63,        54,        55,         0,        51,        26,       300,        19,        34,        45,        26,        34,       139,        18,        70
2018-02-19,       111,        52,        34,       271,        63,        39,        42,        56,        79,        94,         4,        73,        48,       453,        44,        74,        80,        41,        70,       209,        34,        37
2018-02-20,       111,       118,        35,       251,        66,        42,        55,        92,        86,       101,         0,        62,        47,       388,        54,        70,        85,        50,        71,       199,        36,        71
2018-02-21,       111,        70,        33,       243,        71,        35,        48,       108,        87,       102,        58,        88,        65,       422,        49,        77,        91,        35,        74,       197,        42,        36
2018-02-22,       111,       134,        30,       220,        67,        29,        42,       105,        95,        97,        46,        96,        60,       439,        56,        84,        84,        45,        76,       216,        50,        71
2018-02-23,       111,       122,        33,       100,        70,        44,        44,        76,        91,       107,        59,        75,        62,       472,        40,        84,        95,        40,        64,       189,        43,        71
2018-02-24,        93,        47,        16,        38,        35,        39,        31,        56,        56,        60,         0,        62,        40,       263,        21,        17,        49,        35,        48,       140,        41,        71
2018-02-25,        64,        41,        12,        70,        29,        47,        24,        57,        51,        46,         0,        44,        34,       263,        15,        41,        46,        30,        27,       138,        19,        68
2018-02-26,       112,       127,        36,       121,        58,        49,        47,       103,       107,        91,         0,        44,        62,       575,        37,        74,       103,        38,        68,       211,        31,        70
2018-02-27,       112,        55,        35,        97,        54,        45,        48,        90,       107,       120,        42,        67,        59,       582,        66,        77,       115,        50,        80,       199,        41,        36
2018-02-28,       112,       132,        17,        99,        55,        41,        57,       109,       105,       128,         0,        73,        49,       548,        52,        84,       117,        48,        78,       218,        41,        72
