-- MONTHLY REPORT --  Year: 2017 Month: 8 ( Reported at: 2017-12-15 13:31 )
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Date\Src|   Dnevnik|     Focus|   Monitor|      News|   OffNews|       PIK|  Novinite| Epicenter|    Faktor|     Blitz|    Classa|   24chasa|      Trud|      Duma| Mediapool|     ClubZ|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|2017-08-01|        93|       347|         0|        68|        75|       228|        48|         0|         0|         0|         0|         0|        70|         0|        41|        24|
|2017-08-02|        87|       368|         0|        92|        70|       226|        60|         0|         0|        85|         0|         0|         1|        16|         8|         8|
|2017-08-03|        90|       340|         0|        86|        74|       214|        92|         0|         0|        73|         0|         0|        72|         0|        35|        25|
|2017-08-04|        80|       244|         0|        87|        72|       221|        57|         0|         0|        73|         0|       124|        45|        26|        40|        30|
|2017-08-05|        53|       244|         0|        39|        58|       171|        13|         0|         0|        34|         0|        17|         1|         0|         2|         1|
|2017-08-06|        48|       256|         0|        52|        44|       185|        13|         0|         0|        20|         0|         5|         0|         0|         0|         1|
|2017-08-07|        84|       315|         0|        91|        70|       242|        27|         0|         0|        55|         0|       112|        35|        14|        37|        24|
|2017-08-08|        79|       326|         0|        77|        80|       223|        21|         0|         0|        55|         0|        94|        71|        13|        29|        24|
|2017-08-09|        90|       318|         0|        79|        74|       221|        18|         0|         0|        55|         0|       112|        27|         0|        43|        24|
|2017-08-10|        80|       328|         0|        76|        82|       239|        18|         0|         0|        44|         0|        74|        19|        17|        20|        16|
|2017-08-11|        81|       362|         0|        62|        68|       226|        16|         0|         0|        56|         0|       103|        17|        16|        36|        24|
|2017-08-12|        60|       244|         0|        48|        62|       158|         8|         0|         0|        43|         0|        50|        18|         0|        10|        10|
|2017-08-13|        54|       242|         0|        32|        35|       180|        13|         0|         0|        44|         0|        67|        18|         0|        19|        11|
|2017-08-14|        95|       318|         0|        62|        87|       224|        61|         0|         0|        26|         0|        75|        18|        11|        28|        20|
|2017-08-15|        84|       332|         0|        68|        71|       218|        42|         0|         0|        53|         0|        73|        18|        11|        27|        14|
|2017-08-16|        94|       347|         0|        74|        72|       229|        65|         0|         0|        22|         0|        89|        29|        15|        33|        34|
|2017-08-17|        92|       351|         0|        60|        80|       215|        57|         0|         0|        96|         0|       115|        96|        14|        46|        29|
|2017-08-18|        83|       358|         0|        65|        78|       206|        31|         0|         0|        30|         0|         3|        72|         0|        43|        24|
|2017-08-19|        54|       221|         0|        44|        70|       155|        23|         0|         0|        31|         0|        78|        26|         0|        18|        18|
|2017-08-20|        52|       225|         0|        44|        47|       162|        14|         0|         0|        23|         0|        60|        21|         0|         6|        15|
|2017-08-21|        87|       341|         0|        66|        69|       208|        72|         0|         0|        29|         0|       110|        72|         7|        37|        24|
|2017-08-22|        94|       337|         0|        76|        70|       235|        65|         0|         0|        43|         0|       152|        47|         0|        50|        36|
|2017-08-23|        95|       298|         0|        68|        71|       223|        68|         0|         0|        31|         0|        54|        28|        16|        13|        18|
|2017-08-24|       109|       327|         0|        61|        63|       229|        67|         0|         0|        23|         0|        75|        31|        15|        21|        24|
|2017-08-25|        87|         0|         0|         0|        62|       198|        52|         0|         0|        48|         0|       132|        90|        19|        46|        30|
|2017-08-26|        60|       255|         0|        41|        64|       160|        15|         0|         0|        17|         0|        37|        19|         0|        15|        17|
|2017-08-27|        52|       231|         0|        35|        37|       165|        18|         0|         0|        21|         0|        54|        18|         0|        14|         5|
|2017-08-28|        81|       354|         0|        61|        68|       219|        69|         0|         0|        17|         0|        92|        25|        11|        49|        24|
|2017-08-29|        90|       336|         0|        56|        68|       231|        62|         0|         0|        23|         0|        99|        18|        12|        27|        13|
|2017-08-30|       105|       366|         0|        76|        61|       223|        71|         0|         0|        27|         0|        77|        22|        12|        22|        24|
|2017-08-31|       104|       401|         0|        65|        77|       222|        73|         0|         0|        22|         0|        92|        19|        11|        20|        17|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
|  Total   |      2497|      9332|         0|      1911|      2079|      6456|      1329|         0|         0|      1219|         0|      2225|      1063|       256|       835|       608|
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
 TOTAL articles : 29810
 ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- 
